시군구별,연료별,승용차,승합차,화물차,특수차,총합
종로구,수소,68,4,NaN,NaN,72
중구,수소,38,NaN,NaN,NaN,38
용산구,수소,63,NaN,NaN,NaN,63
성동구,수소,47,4,NaN,NaN,51
광진구,수소,47,NaN,NaN,NaN,47
동대문구,수소,54,NaN,NaN,NaN,54
중랑구,수소,47,NaN,NaN,NaN,47
성북구,수소,63,NaN,NaN,NaN,63
강북구,수소,24,NaN,NaN,NaN,24
도봉구,수소,26,NaN,NaN,NaN,26
노원구,수소,63,NaN,NaN,NaN,63
은평구,수소,106,NaN,NaN,NaN,106
서대문구,수소,85,NaN,NaN,NaN,85
마포구,수소,143,NaN,NaN,NaN,143
양천구,수소,86,NaN,NaN,NaN,86
강서구,수소,132,NaN,NaN,NaN,132
구로구,수소,159,NaN,NaN,NaN,159
금천구,수소,36,NaN,NaN,NaN,36
영등포구,수소,158,1,NaN,NaN,159
동작구,수소,92,NaN,NaN,NaN,92
관악구,수소,63,NaN,NaN,NaN,63
서초구,수소,245,NaN,NaN,NaN,245
강남구,수소,196,NaN,NaN,NaN,196
송파구,수소,189,NaN,NaN,NaN,189
강동구,수소,204,NaN,NaN,NaN,204
