시군구별,연료별,승용차,승합차,화물차,특수차,총합
종로구,전기,542,7,63,NaN,612
중구,전기,854,3,111,NaN,968
용산구,전기,885,1,89,NaN,975
성동구,전기,1272,46,142,1,1461
광진구,전기,505,8,107,3,623
동대문구,전기,509,1,149,NaN,659
중랑구,전기,518,49,210,1,778
성북구,전기,672,101,153,NaN,926
강북구,전기,343,60,111,NaN,514
도봉구,전기,467,13,154,5,639
노원구,전기,681,25,189,1,896
은평구,전기,704,10,186,1,901
서대문구,전기,563,49,85,NaN,697
마포구,전기,854,22,207,4,1087
양천구,전기,723,77,198,NaN,998
강서구,전기,1386,58,332,1,1777
구로구,전기,3488,63,248,NaN,3799
금천구,전기,398,19,143,1,561
영등포구,전기,1592,2,792,2,2388
동작구,전기,617,5,102,2,726
관악구,전기,567,77,133,NaN,777
서초구,전기,3295,17,183,2,3497
강남구,전기,11973,7,196,NaN,12176
송파구,전기,1647,6,336,2,1991
강동구,전기,1020,33,241,NaN,1294
